partner,iso,total,total_percent,partner_percent
Bunkers,,4671556549,0.2748,#N/A
Iran,IRN,3224256413,0.1896,#N/A
Tunisia,TUN,1764658607,0.1038,#N/A
Iraq,IRQ,1539722611,0.0906,#N/A
Venezuela,VEN,1176840944,0.0692,#N/A
Bangladesh,BGD,768694728,0.0452,#N/A
Marshall Isds,MHL,756476633,0.0445,#N/A
Libya,LBY,732238788,0.0431,#N/A
Uzbekistan,UZB,671067631,0.0395,#N/A
Angola,AGO,501484020,0.0295,#N/A
Liberia,LBR,441987214,0.0260,#N/A
Kenya,KEN,426559586,0.0251,#N/A
Turkmenistan,TKM,368790351,0.0217,#N/A
Ghana,GHA,354152402,0.0208,#N/A
Liechtenstein,LIE,267389500,0.0157,#N/A
Cuba,CUB,254930114,0.0150,#N/A
Costa Rica,CRI,238014920,0.0140,#N/A
Cayman Isds,CYM,228356253,0.0134,#N/A
Sudan,SDN,210485621,0.0124,#N/A
Myanmar,MMR,175444119,0.0103,#N/A
Dem. Rep. of the Congo,COD,172388166,0.0101,#N/A
Trinidad and Tobago,TTO,157712176,0.0093,#N/A
Br. Virgin Isds,VGB,152665537,0.0090,#N/A
Mali,MLI,136868268,0.0081,#N/A
Lao People's Dem. Rep.,LAO,115045548,0.0068,#N/A
Kyrgyzstan,KGZ,113623961,0.0067,#N/A
Gabon,GAB,107319938,0.0063,#N/A
Syria,SYR,91303754,0.0054,#N/A
Saint Kitts and Nevis,KNA,72652444,0.0043,#N/A
Gibraltar,GIB,61742997,0.0036,#N/A
Tajikistan,TJK,59634718,0.0035,#N/A
Faeroe Isds,FRO,53011884,0.0031,#N/A
Chad,TCD,47084802,0.0028,#N/A
San Marino,SMR,45811709,0.0027,#N/A
Papua New Guinea,PNG,38828191,0.0023,#N/A
Equatorial Guinea,GNQ,26154102,0.0015,#N/A
Eritrea,ERI,25788123,0.0015,#N/A
Haiti,HTI,25736930,0.0015,#N/A
Cura�ao,CUW,18832643,0.0011,#N/A
Seychelles,SYC,16140530,0.0009,#N/A
Swaziland,SWZ,13578519,0.0008,#N/A
Dem. People's Rep. of Korea,PRK,13251143,0.0008,#N/A
Djibouti,DJI,10910963,0.0006,#N/A
Aruba,ABW,9818361,0.0006,#N/A
Somalia,SOM,7162673,0.0004,#N/A
South Sudan,SSD,6346366,0.0004,#N/A
Saint Maarten,SXM,5134573,0.0003,#N/A
Bhutan,BTN,4737466,0.0003,#N/A
Falkland Isds (Malvinas),FLK,3923466,0.0002,#N/A
Guam,GUM,3814809,0.0002,#N/A
Saint Vincent and the Grenadines,VCT,3404832,0.0002,#N/A
Guinea-Bissau,GNB,3379406,0.0002,#N/A
Lesotho,LSO,3026740,0.0002,#N/A
Fr. South Antarctic Terr.,ATF,2987679,0.0002,#N/A
Holy See (Vatican City State),VAT,2950824,0.0002,#N/A
Cook Isds,COK,2538595,0.0001,#N/A
United States Minor Outlying Islands,UMI,1660715,0.0001,#N/A
Turks and Caicos Isds,TCA,1585626,0.0001,#N/A
Comoros,COM,1453837,0.0001,#N/A
Grenada,GRD,1453008,0.0001,#N/A
Dominica,DMA,1239373,0.0001,#N/A
Bonaire,BES,1202129,0.0001,#N/A
Antarctica,ATA,895068,0.0001,#N/A
Saint Barth̩lemy,BLM,826039,0.0000,#N/A
Saint Pierre and Miquelon,SPM,634044,0.0000,#N/A
Vanuatu,VUT,453405,0.0000,#N/A
Special Categories,,290380,0.0000,#N/A
Western Sahara,ESH,266952,0.0000,#N/A
FS Micronesia,FSM,225067,0.0000,#N/A
American Samoa,ASM,165924,0.0000,#N/A
Timor-Leste,TLS,148127,0.0000,#N/A
Wallis and Futuna Isds,WLF,147403,0.0000,#N/A
Norfolk Isds,NFK,146997,0.0000,#N/A
N. Mariana Isds,MNP,137137,0.0000,#N/A
Pitcairn,PCN,108624,0.0000,#N/A
South Georgia and the South Sandwich Islands,SGS,87449,0.0000,#N/A
Anguilla,AIA,42693,0.0000,#N/A
Kiribati,KIR,38947,0.0000,#N/A
Tokelau,TKL,27905,0.0000,#N/A
Saint Helena,SHN,7667,0.0000,#N/A
Br. Indian Ocean Terr.,IOT,4751,0.0000,#N/A
Tuvalu,TUV,2292,0.0000,#N/A
Austria,AUT,82790363275,4.8697,35%
Switzerland,CHE,85137630427,5.0077,30%
Czech Rep.,CZE,47838991618,2.8139,26%
Hungary,HUN,28486801319,1.6756,25%
Poland,POL,68274892742,4.0159,22%
Romania,ROU,14289524430,0.8405,19%
Denmark,DNK,26525516343,1.5602,17%
Slovenia,SVN,5445920743,0.3203,16%
France,FRA,1.47508E+11,8.6763,16%
Slovakia,SVK,15832544776,0.9313,16%
Luxembourg,LUX,14382157230,0.8460,16%
Sweden,SWE,28506432872,1.6767,15%
Netherlands,NLD,1.10408E+11,6.4942,15%
Croatia,HRV,3298945929,0.1940,14%
Italy,ITA,78282774600,4.6045,14%
United Kingdom,GBR,1.28014E+11,7.5297,13%
Finland,FIN,11642322730,0.6848,12%
Bulgaria,BGR,4988543973,0.2934,12%
Portugal,PRT,10449232479,0.6146,12%
Belgium,BEL,62096255946,3.6525,12%
Spain,ESP,51488057152,3.0285,11%
TFYR of Macedonia,MKD,907481179,0.0534,11%
Bosnia Herzegovina,BIH,1055067575,0.0621,11%
Latvia,LVA,2010304018,0.1182,11%
Lithuania,LTU,3405802540,0.2003,10%
Serbia,SRB,2481594162,0.1460,10%
Russian Federation,RUS,39843148579,2.3436,10%
South Africa,ZAF,12352326371,0.7266,10%
Estonia,EST,2271810478,0.1336,10%
Turkey,TUR,27644207439,1.6260,9%
Ukraine,UKR,5009168266,0.2946,9%
Norway,NOR,12722270816,0.7483,8%
Malta,MLT,1028226945,0.0605,8%
Rep. of Moldova,MDA,468383986,0.0276,8%
Greece,GRC,6446629921,0.3792,8%
Cyprus,CYP,1276221495,0.0751,8%
Egypt,EGY,4225654481,0.2486,7%
USA,USA,1.60822E+11,9.4594,5%
Montenegro,MNE,105494607,0.0062,5%
Algeria,DZA,3531479813,0.2077,5%
Morocco,MAR,2375950766,0.1398,5%
Belarus,BLR,2441903882,0.1436,5%
Iceland,ISL,415890800,0.0245,5%
Brazil,BRA,16494782610,0.9702,5%
Argentina,ARG,3854871727,0.2267,5%
China,CHN,1.09019E+11,6.4124,5%
Israel,ISR,5437495602,0.3198,5%
United Arab Emirates,ARE,15224293760,0.8955,5%
Saudi Arabia,SAU,11901280991,0.7000,5%
Georgia,GEO,512970712,0.0302,5%
Australia,AUS,12378958049,0.7281,4%
New Zealand,NZL,1873176212,0.1102,4%
Albania,ALB,213076187,0.0125,4%
Kazakhstan,KAZ,2356345302,0.1386,4%
Ireland,IRL,11354896954,0.6679,4%
Kuwait,KWT,1913249795,0.1125,4%
Andorra,AND,52892938,0.0031,4%
Togo,TGO,77604197,0.0046,4%
Lebanon,LBN,1044859036,0.0615,4%
New Caledonia,NCL,68329373,0.0040,4%
Uruguay,URY,633977037,0.0373,4%
Azerbaijan,AZE,1066140703,0.0627,4%
Mexico,MEX,13965157083,0.8214,4%
Peru,PER,1221444153,0.0718,4%
Niger,NER,42334694,0.0025,3%
Cameroon,CMR,184388009,0.0108,3%
Rep. of Korea,KOR,20825077018,1.2249,3%
Philippines,PHL,2897572444,0.1704,3%
Colombia,COL,2403407314,0.1414,3%
Jordan,JOR,922135836,0.0542,3%
C̫te d'Ivoire,CIV,194910655,0.0115,3%
Nigeria,NGA,2303810018,0.1355,3%
Other Asia. nes,,9873472870,0.5808,3%
Taiwan,TWN,9436651,0.0006,3%
Senegal,SEN,134333005,0.0079,3%
Chile,CHL,2822812411,0.1660,3%
Malaysia,MYS,6920545315,0.4071,3%
Armenia,ARM,178867667,0.0105,3%
French Polynesia,PYF,29151869,0.0017,3%
Oman,OMN,928557248,0.0546,3%
Japan,JPN,27463530411,1.6154,3%
Canada,CAN,14197136069,0.8351,3%
Namibia,NAM,160017686,0.0094,3%
Singapore,SGP,11674201505,0.6867,3%
Madagascar,MDG,57944063,0.0034,3%
India,IND,13869405995,0.8158,3%
Brunei Darussalam,BRN,177536124,0.0104,3%
Bahrain,BHR,502307735,0.0295,3%
State of Palestine,PSE,70486789,0.0041,2%
Thailand,THA,5803678000,0.3414,2%
Pakistan,PAK,1076207940,0.0633,2%
Yemen,YEM,276150147,0.0162,2%
Mongolia,MNG,158417044,0.0093,2%
Ecuador,ECU,553231862,0.0325,2%
Rwanda,RWA,38662586,0.0023,2%
Indonesia,IDN,4243070904,0.2496,2%
Paraguay,PRY,168576255,0.0099,2%
Greenland,GRL,7701362,0.0005,2%
Gambia,GMB,11500644,0.0007,2%
Mauritius,MUS,121706423,0.0072,2%
China. Macao SAR,MAC,113425515,0.0067,2%
United Rep. of Tanzania,TZA,228712488,0.0135,2%
Viet Nam,VNM,2632819932,0.1549,2%
Ethiopia,ETH,319879883,0.0188,2%
Congo,COG,127342064,0.0075,2%
Bolivia (Plurinational State of),BOL,173754965,0.0102,2%
Saint Lucia,LCA,7981197,0.0005,2%
Dominican Rep.,DOM,223520871,0.0131,1%
Qatar,QAT,2811554189,0.1654,1%
Nicaragua,NIC,82068242,0.0048,1%
Barbados,BRB,19528451,0.0011,1%
Sri Lanka,LKA,295520347,0.0174,1%
Burundi,BDI,19500386,0.0011,1%
China. Hong Kong SAR,HKG,9382809613,0.5519,1%
Burkina Faso,BFA,73462064,0.0043,1%
Uganda,UGA,128384495,0.0076,1%
Honduras,HND,168397347,0.0099,1%
Panama,PAN,565964838,0.0333,1%
Guatemala,GTM,278811565,0.0164,1%
El Salvador,SLV,322592055,0.0190,1%
Malawi,MWI,16665238,0.0010,1%
Maldives,MDV,36658759,0.0022,1%
Guinea,GIN,38942768,0.0023,1%
Cabo Verde,CPV,10851476,0.0006,1%
Mauritania,MRT,138429319,0.0081,1%
Zambia,ZMB,105339352,0.0062,1%
Central African Rep.,CAF,8676699,0.0005,1%
Benin,BEN,104355711,0.0061,1%
Mozambique,MOZ,125232815,0.0074,1%
Jamaica,JAM,51183139,0.0030,1%
Zimbabwe,ZWE,42476059,0.0025,1%
Suriname,SUR,39044608,0.0023,1%
Cambodia,KHM,97174945,0.0057,1%
Botswana,BWA,75942001,0.0045,1%
Nepal,NPL,39000435,0.0023,1%
Belize,BLZ,34681790,0.0020,1%
Afghanistan,AFG,153319299,0.0090,1%
Fiji,FJI,11497360,0.0007,1%
Antigua and Barbuda,ATG,13155156,0.0008,0%
Bermuda,BMU,6099152,0.0004,0%
Sierra Leone,SLE,32282364,0.0019,0%
Guyana,GUY,6245216,0.0004,0%
Solomon Isds,SLB,557777,0.0000,0%
Bahamas,BHS,35183546,0.0021,0%
Sao Tome and Principe,STP,963984,0.0001,0%
Samoa,WSM,1486790,0.0001,0%
Montserrat,MSR,313773,0.0000,0%
Tonga,TON,31937,0.0000,0%
Palau,PLW,44084,0.0000,0%
