partner,iso,total,total_percent,partner_percent
Venezuela,VEN,17227706862,0.789,#N/A
Bermuda,BMU,11427392323,0.524,#N/A
Costa Rica,CRI,6964076275,0.319,#N/A
Gibraltar,GIB,2530894164,0.116,#N/A
Trinidad and Tobago,TTO,2411034229,0.110,#N/A
Iraq,IRQ,2105746032,0.096,#N/A
Angola,AGO,2039125048,0.093,#N/A
Kenya,KEN,1640898833,0.075,#N/A
Haiti,HTI,1276652231,0.059,#N/A
Ghana,GHA,1186243580,0.054,#N/A
Bangladesh,BGD,1113364427,0.051,#N/A
Tunisia,TUN,831402374,0.038,#N/A
Cayman Isds,CYM,812721520,0.037,#N/A
Afghanistan,AFG,792389357,0.036,#N/A
Saint Maarten,SXM,781956611,0.036,#N/A
Curaao,CUW,611834151,0.028,#N/A
Equatorial Guinea,GNQ,574794790,0.026,#N/A
Libya,LBY,531855792,0.024,#N/A
Turkmenistan,TKM,455524961,0.021,#N/A
Gabon,GAB,417347429,0.019,#N/A
Br. Virgin Isds,VGB,386662276,0.018,#N/A
Cuba,CUB,299064037,0.014,#N/A
Turks and Caicos Isds,TCA,281894555,0.013,#N/A
Uzbekistan,UZB,212943592,0.010,#N/A
Iran,IRN,186549561,0.009,#N/A
Saint Kitts and Nevis,KNA,184580049,0.008,#N/A
Liberia,LBR,184437212,0.008,#N/A
Dem. Rep. of the Congo,COD,181848831,0.008,#N/A
Papua New Guinea,PNG,143241059,0.007,#N/A
Djibouti,DJI,110874793,0.005,#N/A
Saint Vincent and the Grenadines,VCT,103564549,0.005,#N/A
Marshall Isds,MHL,94723529,0.004,#N/A
Myanmar,MMR,92856414,0.004,#N/A
Grenada,GRD,83966315,0.004,#N/A
Sudan,SDN,77177678,0.004,#N/A
Kyrgyzstan,KGZ,71677683,0.003,#N/A
Chad,TCD,66499541,0.003,#N/A
Dominica,DMA,64186171,0.003,#N/A
Anguilla,AIA,63172506,0.003,#N/A
South Sudan,SSD,46614515,0.002,#N/A
FS Micronesia,FSM,41523205,0.002,#N/A
Mali,MLI,38462373,0.002,#N/A
Somalia,SOM,35653738,0.002,#N/A
Lao People's Dem. Rep.,LAO,28484907,0.001,#N/A
Swaziland,SWZ,25717762,0.001,#N/A
Tajikistan,TJK,24503388,0.001,#N/A
Dem. People's Rep. of Korea,PRK,24028661,0.001,#N/A
Vanuatu,VUT,21185729,0.001,#N/A
Seychelles,SYC,12687753,0.001,#N/A
Fr. South Antarctic Terr.,ATF,8251616,0.000,#N/A
Falkland Isds (Malvinas),FLK,7845600,0.000,#N/A
Syria,SYR,6794271,0.000,#N/A
Cocos Isds,CCK,6040796,0.000,#N/A
San Marino,SMR,5977212,0.000,#N/A
Cook Isds,COK,5486093,0.000,#N/A
Eritrea,ERI,5327596,0.000,#N/A
Comoros,COM,3452794,0.000,#N/A
Kiribati,KIR,3293815,0.000,#N/A
Guinea-Bissau,GNB,2904280,0.000,#N/A
Holy See (Vatican City State),VAT,2573365,0.000,#N/A
Lesotho,LSO,2449565,0.000,#N/A
Bhutan,BTN,2422028,0.000,#N/A
Faeroe Isds,FRO,2360974,0.000,#N/A
Br. Indian Ocean Terr.,IOT,2099098,0.000,#N/A
Tokelau,TKL,1345827,0.000,#N/A
Timor-Leste,TLS,1286987,0.000,#N/A
Heard Island and McDonald Islands,HMD,1180334,0.000,#N/A
Norfolk Isds,NFK,829925,0.000,#N/A
Nauru,NRU,812299,0.000,#N/A
Tuvalu,TUV,591900,0.000,#N/A
Saint Helena,SHN,489827,0.000,#N/A
Wallis and Futuna Isds,WLF,350213,0.000,#N/A
Western Sahara,ESH,276987,0.000,#N/A
Christmas Isds,CXR,168931,0.000,#N/A
Niue,NIU,111564,0.000,#N/A
Pitcairn,PCN,55591,0.000,#N/A
Saint Pierre and Miquelon,SPM,4364,0.000,#N/A
Montserrat,MSR,9181522,0.000,73%
Bahamas,BHS,3324418095,0.152,59%
Canada,CAN,3.71924E+11,17.043,52%
Mexico,MEX,2.69592E+11,12.354,52%
Saint Lucia,LCA,693801833,0.032,45%
Dominican Rep.,DOM,7922140505,0.363,37%
El Salvador,SLV,3295875436,0.151,37%
Barbados,BRB,539917095,0.025,35%
Guatemala,GTM,5963671359,0.273,35%
Antigua and Barbuda,ATG,216605245,0.010,35%
Honduras,HND,5960550932,0.273,33%
Palau,PLW,20521307,0.001,33%
Aruba,ABW,1357737497,0.062,33%
Jamaica,JAM,2181990355,0.100,28%
Belize,BLZ,236703110,0.011,25%
Ecuador,ECU,8129379152,0.373,25%
Colombia,COL,20106598369,0.921,24%
Ireland,IRL,48124934194,2.205,22%
Peru,PER,10053610414,0.461,21%
Chile,CHL,20251735498,0.928,21%
Brazil,BRA,69966834222,3.206,20%
Suriname,SUR,518648209,0.024,20%
Guyana,GUY,369960500,0.017,19%
Mauritania,MRT,149239173,0.007,19%
Argentina,ARG,17433715035,0.799,19%
Panama,PAN,10462657821,0.479,19%
Switzerland,CHE,50792641824,2.328,18%
Australia,AUS,45081675714,2.066,15%
Israel,ISR,20019784519,0.917,14%
Nicaragua,NIC,1008621497,0.046,14%
United Kingdom,GBR,1.14998E+11,5.270,13%
New Zealand,NZL,6410674989,0.294,13%
Taiwan,TWN,38480065388,1.763,12%
Japan,JPN,1.12587E+11,5.159,12%
Saudi Arabia,SAU,27146865107,1.244,11%
