id	iso	url
4	AFG	http://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg
8	ALB	http://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg
10	ATA	http://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Antarctica.svg
12	DZA	http://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg
16	ASM	http://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_American_Samoa.svg
20	AND	http://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg
24	AGO	http://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg
28	ATG	http://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg
31	AZE	http://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg
32	ARG	http://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg
36	AUS	http://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg
40	AUT	http://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg
44	BHS	http://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg
48	BHR	http://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg
50	BGD	http://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg
51	ARM	http://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg
52	BRB	http://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg
56	BEL	http://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg
60	BMU	http://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bermuda.svg
64	BTN	http://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg
68	BOL	http://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg
70	BIH	http://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg
72	BWA	http://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg
74	NOR	http://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg
76	BRA	http://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Brazil.svg
84	BLZ	http://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg
86	IOT	http://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_the_British_Indian_Ocean_Territory.svg
90	SLB	http://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg
92	VGB	http://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_the_British_Virgin_Islands.svg
96	BRN	http://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg
100	BGR	http://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg
104	MMR	http://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg
108	BDI	http://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg
112	BLR	http://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg
116	KHM	http://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
120	CMR	http://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg
124	CAN	http://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg
132	CPV	http://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg
136	CYM	http://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_the_Cayman_Islands.svg
